maintenance_id,node_id,technician_id,maintenance_type,date_performed
MAINT00001,NODE0063,TECH0175,Inspection,2023-12-02 00:00:00
MAINT00002,NODE0169,TECH0119,Repair,2023-12-13 00:00:00
MAINT00003,NODE0102,TECH0169,Upgrade,2023-10-05 00:00:00
MAINT00004,NODE0022,TECH0003,Calibration,2023-10-25 00:00:00
MAINT00005,NODE0112,TECH0039,Inspection,2023-10-27 00:00:00
MAINT00006,NODE0193,TECH0192,Repair,2024-02-14 00:00:00
MAINT00007,NODE0134,TECH0014,Upgrade,2024-03-21 00:00:00
MAINT00008,NODE0077,TECH0101,Calibration,2024-01-27 00:00:00
MAINT00009,NODE0106,TECH0019,Inspection,2024-03-07 00:00:00
MAINT00010,NODE0080,TECH0097,Repair,2024-03-01 00:00:00
MAINT00011,NODE0165,TECH0145,Upgrade,2023-12-31 00:00:00
MAINT00012,NODE0055,TECH0185,Calibration,2023-11-21 00:00:00
MAINT00013,NODE0089,TECH0114,Inspection,2023-11-04 00:00:00
MAINT00014,NODE0125,TECH0036,Repair,2023-11-26 00:00:00
MAINT00015,NODE0053,TECH0145,Upgrade,2024-03-10 00:00:00
MAINT00016,NODE0007,TECH0171,Calibration,2023-11-30 00:00:00
MAINT00017,NODE0056,TECH0073,Inspection,2024-01-12 00:00:00
MAINT00018,NODE0031,TECH0057,Repair,2024-03-16 00:00:00
MAINT00019,NODE0163,TECH0177,Upgrade,2024-03-31 00:00:00
MAINT00020,NODE0154,TECH0114,Calibration,2024-03-09 00:00:00
MAINT00021,NODE0008,TECH0193,Inspection,2024-03-22 00:00:00
MAINT00022,NODE0106,TECH0195,Repair,2023-11-21 00:00:00
MAINT00023,NODE0119,TECH0008,Upgrade,2023-10-25 00:00:00
MAINT00024,NODE0033,TECH0176,Calibration,2024-03-16 00:00:00
MAINT00025,NODE0076,TECH0177,Inspection,2024-02-09 00:00:00
MAINT00026,NODE0104,TECH0123,Repair,2023-12-04 00:00:00
MAINT00027,NODE0143,TECH0198,Upgrade,2023-12-15 00:00:00
MAINT00028,NODE0085,TECH0183,Calibration,2024-01-29 00:00:00
MAINT00029,NODE0194,TECH0067,Inspection,2024-03-24 00:00:00
MAINT00030,NODE0103,TECH0045,Repair,2024-03-20 00:00:00
MAINT00031,NODE0168,TECH0181,Upgrade,2023-10-30 00:00:00
MAINT00032,NODE0071,TECH0041,Calibration,2023-12-24 00:00:00
MAINT00033,NODE0048,TECH0184,Inspection,2023-12-06 00:00:00
MAINT00034,NODE0101,TECH0189,Repair,2024-03-21 00:00:00
MAINT00035,NODE0057,TECH0125,Upgrade,2023-11-28 00:00:00
MAINT00036,NODE0101,TECH0079,Calibration,2023-12-20 00:00:00
MAINT00037,NODE0035,TECH0057,Inspection,2024-01-13 00:00:00
MAINT00038,NODE0054,TECH0144,Repair,2024-02-28 00:00:00
MAINT00039,NODE0006,TECH0119,Upgrade,2024-03-16 00:00:00
MAINT00040,NODE0125,TECH0017,Calibration,2024-02-17 00:00:00
MAINT00041,NODE0162,TECH0132,Inspection,2024-03-06 00:00:00
MAINT00042,NODE0031,TECH0060,Repair,2023-11-09 00:00:00
MAINT00043,NODE0164,TECH0127,Upgrade,2024-03-26 00:00:00
MAINT00044,NODE0065,TECH0199,Calibration,2024-03-19 00:00:00
MAINT00045,NODE0110,TECH0161,Inspection,2024-01-01 00:00:00
MAINT00046,NODE0055,TECH0195,Repair,2023-12-18 00:00:00
MAINT00047,NODE0150,TECH0066,Upgrade,2024-03-04 00:00:00
MAINT00048,NODE0017,TECH0162,Calibration,2024-02-24 00:00:00
MAINT00049,NODE0174,TECH0111,Inspection,2024-02-29 00:00:00
MAINT00050,NODE0044,TECH0076,Repair,2023-11-26 00:00:00
MAINT00051,NODE0159,TECH0042,Upgrade,2024-02-17 00:00:00
MAINT00052,NODE0198,TECH0188,Calibration,2024-01-24 00:00:00
MAINT00053,NODE0195,TECH0124,Inspection,2023-12-16 00:00:00
MAINT00054,NODE0193,TECH0026,Repair,2023-11-27 00:00:00
MAINT00055,NODE0028,TECH0180,Upgrade,2024-02-22 00:00:00
MAINT00056,NODE0043,TECH0013,Calibration,2024-02-14 00:00:00
MAINT00057,NODE0079,TECH0157,Inspection,2024-01-10 00:00:00
MAINT00058,NODE0002,TECH0119,Repair,2024-03-17 00:00:00
MAINT00059,NODE0198,TECH0024,Upgrade,2023-10-26 00:00:00
MAINT00060,NODE0107,TECH0108,Calibration,2023-11-06 00:00:00
MAINT00061,NODE0016,TECH0106,Inspection,2024-03-28 00:00:00
MAINT00062,NODE0093,TECH0105,Repair,2023-10-25 00:00:00
MAINT00063,NODE0178,TECH0156,Upgrade,2023-11-19 00:00:00
MAINT00064,NODE0167,TECH0116,Calibration,2024-03-06 00:00:00
MAINT00065,NODE0170,TECH0192,Inspection,2023-11-03 00:00:00
MAINT00066,NODE0166,TECH0024,Repair,2023-11-01 00:00:00
MAINT00067,NODE0099,TECH0028,Upgrade,2023-10-04 00:00:00
MAINT00068,NODE0022,TECH0102,Calibration,2024-02-27 00:00:00
MAINT00069,NODE0048,TECH0101,Inspection,2023-11-01 00:00:00
MAINT00070,NODE0197,TECH0087,Repair,2024-03-27 00:00:00
MAINT00071,NODE0004,TECH0030,Upgrade,2024-01-04 00:00:00
MAINT00072,NODE0033,TECH0021,Calibration,2024-03-02 00:00:00
MAINT00073,NODE0102,TECH0034,Inspection,2024-03-26 00:00:00
MAINT00074,NODE0112,TECH0051,Repair,2024-02-08 00:00:00
MAINT00075,NODE0191,TECH0026,Upgrade,2024-03-02 00:00:00
MAINT00076,NODE0086,TECH0036,Calibration,2024-01-12 00:00:00
MAINT00077,NODE0181,TECH0191,Inspection,2023-11-05 00:00:00
MAINT00078,NODE0022,TECH0138,Repair,2023-11-12 00:00:00
MAINT00079,NODE0025,TECH0136,Upgrade,2023-11-28 00:00:00
MAINT00080,NODE0017,TECH0127,Calibration,2023-10-21 00:00:00
MAINT00081,NODE0026,TECH0144,Inspection,2024-03-21 00:00:00
MAINT00082,NODE0097,TECH0150,Repair,2023-10-24 00:00:00
MAINT00083,NODE0035,TECH0186,Upgrade,2023-12-22 00:00:00
MAINT00084,NODE0143,TECH0061,Calibration,2024-02-13 00:00:00
MAINT00085,NODE0138,TECH0051,Inspection,2024-01-21 00:00:00
MAINT00086,NODE0056,TECH0122,Repair,2024-01-07 00:00:00
MAINT00087,NODE0027,TECH0157,Upgrade,2024-01-28 00:00:00
MAINT00088,NODE0185,TECH0144,Calibration,2023-10-10 00:00:00
MAINT00089,NODE0149,TECH0017,Inspection,2024-01-04 00:00:00
MAINT00090,NODE0072,TECH0098,Repair,2024-01-15 00:00:00
MAINT00091,NODE0136,TECH0155,Upgrade,2024-02-27 00:00:00
MAINT00092,NODE0042,TECH0085,Calibration,2024-03-18 00:00:00
MAINT00093,NODE0004,TECH0011,Inspection,2024-02-12 00:00:00
MAINT00094,NODE0141,TECH0129,Repair,2024-03-02 00:00:00
MAINT00095,NODE0029,TECH0030,Upgrade,2024-03-06 00:00:00
MAINT00096,NODE0184,TECH0090,Calibration,2024-02-21 00:00:00
MAINT00097,NODE0085,TECH0124,Inspection,2023-12-07 00:00:00
MAINT00098,NODE0137,TECH0169,Repair,2023-10-04 00:00:00
MAINT00099,NODE0156,TECH0049,Upgrade,2024-02-22 00:00:00
MAINT00100,NODE0034,TECH0026,Calibration,2023-11-27 00:00:00
MAINT00101,NODE0096,TECH0198,Inspection,2023-12-24 00:00:00
MAINT00102,NODE0079,TECH0147,Repair,2024-01-01 00:00:00
MAINT00103,NODE0090,TECH0183,Upgrade,2024-02-22 00:00:00
MAINT00104,NODE0160,TECH0156,Calibration,2023-12-03 00:00:00
MAINT00105,NODE0103,TECH0191,Inspection,2024-02-14 00:00:00
MAINT00106,NODE0076,TECH0136,Repair,2023-12-17 00:00:00
MAINT00107,NODE0088,TECH0124,Upgrade,2024-01-13 00:00:00
MAINT00108,NODE0160,TECH0134,Calibration,2023-12-14 00:00:00
MAINT00109,NODE0008,TECH0189,Inspection,2024-03-30 00:00:00
MAINT00110,NODE0094,TECH0014,Repair,2024-03-14 00:00:00
MAINT00111,NODE0040,TECH0100,Upgrade,2024-03-08 00:00:00
MAINT00112,NODE0104,TECH0018,Calibration,2024-02-15 00:00:00
MAINT00113,NODE0176,TECH0009,Inspection,2023-11-22 00:00:00
MAINT00114,NODE0095,TECH0191,Repair,2024-01-05 00:00:00
MAINT00115,NODE0005,TECH0020,Upgrade,2023-10-24 00:00:00
MAINT00116,NODE0070,TECH0035,Calibration,2024-03-30 00:00:00
MAINT00117,NODE0184,TECH0101,Inspection,2023-10-10 00:00:00
MAINT00118,NODE0057,TECH0028,Repair,2023-11-10 00:00:00
MAINT00119,NODE0182,TECH0084,Upgrade,2023-10-18 00:00:00
MAINT00120,NODE0089,TECH0146,Calibration,2023-10-26 00:00:00
MAINT00121,NODE0164,TECH0003,Inspection,2024-01-05 00:00:00
MAINT00122,NODE0006,TECH0030,Repair,2024-03-12 00:00:00
MAINT00123,NODE0073,TECH0015,Upgrade,2024-01-04 00:00:00
MAINT00124,NODE0165,TECH0104,Calibration,2024-01-22 00:00:00
MAINT00125,NODE0196,TECH0181,Inspection,2024-02-03 00:00:00
MAINT00126,NODE0148,TECH0014,Repair,2024-03-16 00:00:00
MAINT00127,NODE0115,TECH0090,Upgrade,2023-12-31 00:00:00
MAINT00128,NODE0198,TECH0022,Calibration,2024-01-21 00:00:00
MAINT00129,NODE0097,TECH0195,Inspection,2024-02-16 00:00:00
MAINT00130,NODE0103,TECH0056,Repair,2023-10-24 00:00:00
MAINT00131,NODE0081,TECH0006,Upgrade,2024-02-17 00:00:00
MAINT00132,NODE0059,TECH0127,Calibration,2023-12-16 00:00:00
MAINT00133,NODE0099,TECH0074,Inspection,2024-02-10 00:00:00
MAINT00134,NODE0167,TECH0061,Repair,2023-11-19 00:00:00
MAINT00135,NODE0059,TECH0105,Upgrade,2023-11-15 00:00:00
MAINT00136,NODE0046,TECH0158,Calibration,2024-02-03 00:00:00
MAINT00137,NODE0060,TECH0086,Inspection,2023-12-02 00:00:00
MAINT00138,NODE0185,TECH0070,Repair,2024-03-08 00:00:00
MAINT00139,NODE0019,TECH0003,Upgrade,2024-02-04 00:00:00
MAINT00140,NODE0159,TECH0003,Calibration,2023-10-23 00:00:00
MAINT00141,NODE0144,TECH0198,Inspection,2024-03-04 00:00:00
MAINT00142,NODE0174,TECH0171,Repair,2023-12-01 00:00:00
MAINT00143,NODE0025,TECH0107,Upgrade,2023-12-04 00:00:00
MAINT00144,NODE0139,TECH0048,Calibration,2024-03-16 00:00:00
MAINT00145,NODE0110,TECH0096,Inspection,2024-01-27 00:00:00
MAINT00146,NODE0171,TECH0117,Repair,2024-03-27 00:00:00
MAINT00147,NODE0141,TECH0140,Upgrade,2023-10-29 00:00:00
MAINT00148,NODE0004,TECH0015,Calibration,2024-02-18 00:00:00
MAINT00149,NODE0143,TECH0046,Inspection,2023-12-27 00:00:00
MAINT00150,NODE0017,TECH0132,Repair,2024-02-26 00:00:00
MAINT00151,NODE0137,TECH0049,Upgrade,2023-10-23 00:00:00
MAINT00152,NODE0008,TECH0039,Calibration,2023-11-11 00:00:00
MAINT00153,NODE0108,TECH0058,Inspection,2023-10-28 00:00:00
MAINT00154,NODE0100,TECH0031,Repair,2024-01-20 00:00:00
MAINT00155,NODE0137,TECH0122,Upgrade,2023-10-20 00:00:00
MAINT00156,NODE0096,TECH0190,Calibration,2023-12-25 00:00:00
MAINT00157,NODE0193,TECH0001,Inspection,2024-01-18 00:00:00
MAINT00158,NODE0075,TECH0094,Repair,2024-01-14 00:00:00
MAINT00159,NODE0085,TECH0053,Upgrade,2023-10-12 00:00:00
MAINT00160,NODE0181,TECH0083,Calibration,2023-11-18 00:00:00
MAINT00161,NODE0128,TECH0112,Inspection,2023-12-02 00:00:00
MAINT00162,NODE0180,TECH0100,Repair,2024-01-24 00:00:00
MAINT00163,NODE0003,TECH0126,Upgrade,2023-11-30 00:00:00
MAINT00164,NODE0061,TECH0125,Calibration,2023-12-05 00:00:00
MAINT00165,NODE0014,TECH0181,Inspection,2023-12-11 00:00:00
MAINT00166,NODE0045,TECH0020,Repair,2023-12-16 00:00:00
MAINT00167,NODE0138,TECH0053,Upgrade,2023-12-03 00:00:00
MAINT00168,NODE0173,TECH0082,Calibration,2023-12-30 00:00:00
MAINT00169,NODE0095,TECH0083,Inspection,2023-12-08 00:00:00
MAINT00170,NODE0086,TECH0085,Repair,2023-12-24 00:00:00
MAINT00171,NODE0102,TECH0113,Upgrade,2024-02-20 00:00:00
MAINT00172,NODE0180,TECH0198,Calibration,2023-12-02 00:00:00
MAINT00173,NODE0078,TECH0042,Inspection,2023-12-09 00:00:00
MAINT00174,NODE0116,TECH0194,Repair,2024-01-15 00:00:00
MAINT00175,NODE0089,TECH0158,Upgrade,2023-10-04 00:00:00
MAINT00176,NODE0006,TECH0178,Calibration,2024-01-27 00:00:00
MAINT00177,NODE0116,TECH0169,Inspection,2024-01-19 00:00:00
MAINT00178,NODE0119,TECH0189,Repair,2024-02-29 00:00:00
MAINT00179,NODE0056,TECH0142,Upgrade,2023-10-20 00:00:00
MAINT00180,NODE0189,TECH0089,Calibration,2023-12-04 00:00:00
MAINT00181,NODE0168,TECH0056,Inspection,2024-03-22 00:00:00
MAINT00182,NODE0099,TECH0165,Repair,2024-02-18 00:00:00
MAINT00183,NODE0014,TECH0163,Upgrade,2024-01-18 00:00:00
MAINT00184,NODE0089,TECH0050,Calibration,2024-01-18 00:00:00
MAINT00185,NODE0009,TECH0173,Inspection,2023-12-09 00:00:00
MAINT00186,NODE0185,TECH0045,Repair,2024-03-29 00:00:00
MAINT00187,NODE0078,TECH0122,Upgrade,2023-11-01 00:00:00
MAINT00188,NODE0091,TECH0105,Calibration,2024-01-20 00:00:00
MAINT00189,NODE0160,TECH0045,Inspection,2024-01-20 00:00:00
MAINT00190,NODE0101,TECH0068,Repair,2023-12-02 00:00:00
MAINT00191,NODE0079,TECH0185,Upgrade,2024-03-18 00:00:00
MAINT00192,NODE0121,TECH0090,Calibration,2024-02-27 00:00:00
MAINT00193,NODE0071,TECH0198,Inspection,2024-02-10 00:00:00
MAINT00194,NODE0158,TECH0122,Repair,2024-03-17 00:00:00
MAINT00195,NODE0119,TECH0144,Upgrade,2023-12-15 00:00:00
MAINT00196,NODE0063,TECH0178,Calibration,2023-11-17 00:00:00
MAINT00197,NODE0004,TECH0043,Inspection,2024-03-28 00:00:00
MAINT00198,NODE0028,TECH0126,Repair,2024-01-06 00:00:00
MAINT00199,NODE0086,TECH0005,Upgrade,2023-11-08 00:00:00
MAINT00200,NODE0186,TECH0103,Calibration,2024-01-13 00:00:00
MAINT00201,NODE0113,TECH0004,Inspection,2023-12-02 00:00:00
MAINT00202,NODE0110,TECH0191,Repair,2023-11-24 00:00:00
MAINT00203,NODE0107,TECH0012,Upgrade,2023-11-27 00:00:00
MAINT00204,NODE0030,TECH0160,Calibration,2023-10-21 00:00:00
MAINT00205,NODE0018,TECH0039,Inspection,2024-02-14 00:00:00
MAINT00206,NODE0195,TECH0140,Repair,2023-11-24 00:00:00
MAINT00207,NODE0066,TECH0170,Upgrade,2023-12-29 00:00:00
MAINT00208,NODE0077,TECH0149,Calibration,2023-10-06 00:00:00
MAINT00209,NODE0125,TECH0025,Inspection,2023-12-13 00:00:00
MAINT00210,NODE0006,TECH0138,Repair,2023-10-26 00:00:00
MAINT00211,NODE0003,TECH0012,Upgrade,2023-11-19 00:00:00
MAINT00212,NODE0195,TECH0099,Calibration,2024-03-09 00:00:00
MAINT00213,NODE0199,TECH0104,Inspection,2023-10-16 00:00:00
MAINT00214,NODE0189,TECH0004,Repair,2023-11-26 00:00:00
MAINT00215,NODE0088,TECH0046,Upgrade,2023-10-23 00:00:00
MAINT00216,NODE0070,TECH0096,Calibration,2023-11-07 00:00:00
MAINT00217,NODE0161,TECH0029,Inspection,2024-01-01 00:00:00
MAINT00218,NODE0010,TECH0036,Repair,2024-01-18 00:00:00
MAINT00219,NODE0178,TECH0013,Upgrade,2023-12-17 00:00:00
MAINT00220,NODE0081,TECH0142,Calibration,2023-11-07 00:00:00
MAINT00221,NODE0022,TECH0055,Inspection,2023-10-01 00:00:00
MAINT00222,NODE0171,TECH0072,Repair,2023-11-26 00:00:00
MAINT00223,NODE0126,TECH0184,Upgrade,2023-12-29 00:00:00
MAINT00224,NODE0056,TECH0068,Calibration,2023-10-22 00:00:00
MAINT00225,NODE0055,TECH0056,Inspection,2023-11-17 00:00:00
MAINT00226,NODE0006,TECH0022,Repair,2023-11-05 00:00:00
MAINT00227,NODE0156,TECH0062,Upgrade,2024-03-20 00:00:00
MAINT00228,NODE0016,TECH0083,Calibration,2023-11-08 00:00:00
MAINT00229,NODE0146,TECH0160,Inspection,2023-11-01 00:00:00
MAINT00230,NODE0044,TECH0179,Repair,2024-03-13 00:00:00
MAINT00231,NODE0066,TECH0075,Upgrade,2023-11-18 00:00:00
MAINT00232,NODE0051,TECH0030,Calibration,2023-10-05 00:00:00
MAINT00233,NODE0096,TECH0135,Inspection,2023-12-04 00:00:00
MAINT00234,NODE0073,TECH0046,Repair,2024-03-02 00:00:00
MAINT00235,NODE0140,TECH0104,Upgrade,2023-11-12 00:00:00
MAINT00236,NODE0097,TECH0161,Calibration,2024-01-13 00:00:00
MAINT00237,NODE0093,TECH0186,Inspection,2023-12-21 00:00:00
MAINT00238,NODE0077,TECH0137,Repair,2024-03-03 00:00:00
MAINT00239,NODE0092,TECH0078,Upgrade,2023-10-22 00:00:00
MAINT00240,NODE0064,TECH0164,Calibration,2023-11-06 00:00:00
MAINT00241,NODE0006,TECH0006,Inspection,2024-03-07 00:00:00
MAINT00242,NODE0172,TECH0157,Repair,2023-11-18 00:00:00
MAINT00243,NODE0089,TECH0095,Upgrade,2023-12-18 00:00:00
MAINT00244,NODE0166,TECH0109,Calibration,2024-02-08 00:00:00
MAINT00245,NODE0052,TECH0169,Inspection,2023-12-15 00:00:00
MAINT00246,NODE0015,TECH0084,Repair,2024-01-17 00:00:00
MAINT00247,NODE0117,TECH0067,Upgrade,2024-03-17 00:00:00
MAINT00248,NODE0189,TECH0155,Calibration,2024-01-19 00:00:00
MAINT00249,NODE0175,TECH0087,Inspection,2023-10-24 00:00:00
MAINT00250,NODE0110,TECH0121,Repair,2023-10-04 00:00:00
MAINT00251,NODE0157,TECH0001,Upgrade,2024-01-08 00:00:00
MAINT00252,NODE0097,TECH0050,Calibration,2023-11-12 00:00:00
MAINT00253,NODE0168,TECH0148,Inspection,2023-10-14 00:00:00
MAINT00254,NODE0177,TECH0004,Repair,2023-10-21 00:00:00
MAINT00255,NODE0074,TECH0011,Upgrade,2024-01-08 00:00:00
MAINT00256,NODE0120,TECH0073,Calibration,2024-03-20 00:00:00
MAINT00257,NODE0109,TECH0178,Inspection,2023-10-01 00:00:00
MAINT00258,NODE0183,TECH0029,Repair,2024-01-29 00:00:00
MAINT00259,NODE0077,TECH0069,Upgrade,2023-12-03 00:00:00
MAINT00260,NODE0081,TECH0039,Calibration,2023-11-14 00:00:00
MAINT00261,NODE0024,TECH0120,Inspection,2024-03-15 00:00:00
MAINT00262,NODE0031,TECH0072,Repair,2023-11-14 00:00:00
MAINT00263,NODE0114,TECH0031,Upgrade,2024-02-07 00:00:00
MAINT00264,NODE0042,TECH0073,Calibration,2024-01-10 00:00:00
MAINT00265,NODE0168,TECH0087,Inspection,2023-10-11 00:00:00
MAINT00266,NODE0030,TECH0119,Repair,2023-12-11 00:00:00
MAINT00267,NODE0062,TECH0036,Upgrade,2024-03-06 00:00:00
MAINT00268,NODE0130,TECH0036,Calibration,2024-02-06 00:00:00
MAINT00269,NODE0171,TECH0078,Inspection,2023-11-23 00:00:00
MAINT00270,NODE0177,TECH0004,Repair,2024-03-26 00:00:00
MAINT00271,NODE0134,TECH0122,Upgrade,2023-10-29 00:00:00
MAINT00272,NODE0095,TECH0034,Calibration,2023-11-30 00:00:00
MAINT00273,NODE0168,TECH0158,Inspection,2023-10-22 00:00:00
MAINT00274,NODE0129,TECH0106,Repair,2023-12-03 00:00:00
MAINT00275,NODE0081,TECH0044,Upgrade,2024-03-20 00:00:00
MAINT00276,NODE0092,TECH0158,Calibration,2023-12-11 00:00:00
MAINT00277,NODE0142,TECH0120,Inspection,2023-12-30 00:00:00
MAINT00278,NODE0044,TECH0159,Repair,2024-01-05 00:00:00
MAINT00279,NODE0070,TECH0102,Upgrade,2024-01-16 00:00:00
MAINT00280,NODE0171,TECH0029,Calibration,2023-11-18 00:00:00
MAINT00281,NODE0051,TECH0004,Inspection,2023-12-15 00:00:00
MAINT00282,NODE0029,TECH0025,Repair,2024-03-05 00:00:00
MAINT00283,NODE0177,TECH0046,Upgrade,2024-03-18 00:00:00
MAINT00284,NODE0133,TECH0073,Calibration,2023-12-27 00:00:00
MAINT00285,NODE0187,TECH0059,Inspection,2024-02-07 00:00:00
MAINT00286,NODE0078,TECH0172,Repair,2024-01-21 00:00:00
MAINT00287,NODE0029,TECH0017,Upgrade,2024-03-06 00:00:00
MAINT00288,NODE0154,TECH0153,Calibration,2024-03-17 00:00:00
MAINT00289,NODE0067,TECH0071,Inspection,2024-02-07 00:00:00
MAINT00290,NODE0117,TECH0012,Repair,2024-02-09 00:00:00
MAINT00291,NODE0118,TECH0161,Upgrade,2024-03-29 00:00:00
MAINT00292,NODE0029,TECH0097,Calibration,2024-02-24 00:00:00
MAINT00293,NODE0061,TECH0107,Inspection,2024-02-26 00:00:00
MAINT00294,NODE0065,TECH0176,Repair,2024-03-07 00:00:00
MAINT00295,NODE0019,TECH0137,Upgrade,2023-10-07 00:00:00
MAINT00296,NODE0186,TECH0045,Calibration,2023-11-20 00:00:00
MAINT00297,NODE0044,TECH0108,Inspection,2024-02-21 00:00:00
MAINT00298,NODE0070,TECH0058,Repair,2023-10-18 00:00:00
MAINT00299,NODE0199,TECH0067,Upgrade,2023-11-17 00:00:00
MAINT00300,NODE0179,TECH0166,Calibration,2023-12-23 00:00:00
