sla_id,ticket_id,response_time_hours,resolution_time_hours
SLA0001,TICK00840,1,22
SLA0002,TICK00633,38,54
SLA0003,TICK00218,38,5
SLA0004,TICK00348,22,8
SLA0005,TICK00540,1,36
SLA0006,TICK00949,42,12
SLA0007,TICK00887,9,42
SLA0008,TICK00436,46,24
SLA0009,TICK00962,41,58
SLA0010,TICK00570,9,25
SLA0011,TICK00323,29,63
SLA0012,TICK00618,48,27
SLA0013,TICK00711,4,57
SLA0014,TICK00321,33,1
SLA0015,TICK00605,31,68
SLA0016,TICK00216,31,13
SLA0017,TICK00814,32,32
SLA0018,TICK00444,26,69
SLA0019,TICK00002,7,71
SLA0020,TICK00205,20,8
SLA0021,TICK00416,9,64
SLA0022,TICK00399,20,24
SLA0023,TICK00756,13,28
SLA0024,TICK00484,14,61
SLA0025,TICK00826,3,24
SLA0026,TICK00551,23,53
SLA0027,TICK00244,18,13
SLA0028,TICK00992,36,53
SLA0029,TICK00277,36,52
SLA0030,TICK00184,45,24
SLA0031,TICK00714,15,62
SLA0032,TICK00068,1,11
SLA0033,TICK00173,13,44
SLA0034,TICK00077,48,47
SLA0035,TICK00727,39,5
SLA0036,TICK00046,9,41
SLA0037,TICK00521,39,3
SLA0038,TICK00640,26,9
SLA0039,TICK00230,36,52
SLA0040,TICK00753,32,47
SLA0041,TICK00837,36,20
SLA0042,TICK00232,8,16
SLA0043,TICK00292,17,1
SLA0044,TICK00243,5,4
SLA0045,TICK00053,11,10
SLA0046,TICK00039,36,26
SLA0047,TICK00477,22,35
SLA0048,TICK00465,19,26
SLA0049,TICK00057,17,41
SLA0050,TICK00900,29,16
SLA0051,TICK00964,26,40
SLA0052,TICK00264,5,46
SLA0053,TICK00483,7,66
SLA0054,TICK00331,38,68
SLA0055,TICK00950,23,47
SLA0056,TICK00522,43,10
SLA0057,TICK00901,43,66
SLA0058,TICK00549,45,55
SLA0059,TICK00466,16,23
SLA0060,TICK00329,24,59
SLA0061,TICK00894,40,3
SLA0062,TICK00237,27,12
SLA0063,TICK00045,19,50
SLA0064,TICK00509,45,14
SLA0065,TICK00758,18,55
SLA0066,TICK00934,44,9
SLA0067,TICK00122,12,44
SLA0068,TICK00546,19,64
SLA0069,TICK00839,1,57
SLA0070,TICK00363,41,29
SLA0071,TICK00847,18,17
SLA0072,TICK00480,9,16
SLA0073,TICK00650,34,47
SLA0074,TICK00067,27,1
SLA0075,TICK00902,13,63
SLA0076,TICK00870,22,72
SLA0077,TICK00832,12,37
SLA0078,TICK00927,3,68
SLA0079,TICK00795,30,1
SLA0080,TICK00528,38,41
SLA0081,TICK00038,22,42
SLA0082,TICK00573,33,44
SLA0083,TICK00153,2,70
SLA0084,TICK00508,38,23
SLA0085,TICK00345,37,60
SLA0086,TICK00111,44,14
SLA0087,TICK00002,12,3
SLA0088,TICK00371,44,71
SLA0089,TICK00040,27,46
SLA0090,TICK00737,48,71
SLA0091,TICK00279,13,31
SLA0092,TICK00377,18,11
SLA0093,TICK00704,18,71
SLA0094,TICK00871,19,63
SLA0095,TICK00538,22,52
SLA0096,TICK00248,6,51
SLA0097,TICK00943,40,33
SLA0098,TICK00136,3,51
SLA0099,TICK00361,4,43
SLA0100,TICK00977,26,26
SLA0101,TICK00230,7,16
SLA0102,TICK00057,19,67
SLA0103,TICK00229,33,1
SLA0104,TICK00202,28,38
SLA0105,TICK00199,42,65
SLA0106,TICK00252,32,35
SLA0107,TICK00774,40,19
SLA0108,TICK00851,10,50
SLA0109,TICK00547,12,37
SLA0110,TICK00390,39,10
SLA0111,TICK00771,43,19
SLA0112,TICK00538,20,40
SLA0113,TICK00807,10,9
SLA0114,TICK00557,13,1
SLA0115,TICK00544,4,42
SLA0116,TICK00644,37,26
SLA0117,TICK00401,4,71
SLA0118,TICK00208,24,24
SLA0119,TICK00505,5,51
SLA0120,TICK00223,32,64
SLA0121,TICK00182,33,21
SLA0122,TICK00579,45,7
SLA0123,TICK00953,19,39
SLA0124,TICK00520,28,68
SLA0125,TICK00325,16,65
SLA0126,TICK00621,34,39
SLA0127,TICK00169,1,18
SLA0128,TICK00945,8,43
SLA0129,TICK00420,35,31
SLA0130,TICK00877,27,6
SLA0131,TICK00178,20,51
SLA0132,TICK00006,21,50
SLA0133,TICK00144,41,49
SLA0134,TICK00284,40,44
SLA0135,TICK00380,25,27
SLA0136,TICK00078,16,32
SLA0137,TICK00036,44,67
SLA0138,TICK00315,47,25
SLA0139,TICK00183,43,67
SLA0140,TICK00331,33,39
SLA0141,TICK00890,36,46
SLA0142,TICK00093,10,24
SLA0143,TICK00847,4,24
SLA0144,TICK00765,7,9
SLA0145,TICK00974,37,5
SLA0146,TICK00595,27,4
SLA0147,TICK00711,25,59
SLA0148,TICK00317,45,39
SLA0149,TICK00900,1,9
SLA0150,TICK00333,14,24
SLA0151,TICK00880,93,46
SLA0152,TICK00345,66,28
SLA0153,TICK00052,72,36
SLA0154,TICK00665,90,68
SLA0155,TICK00306,54,55
SLA0156,TICK00928,70,40
SLA0157,TICK00720,86,18
SLA0158,TICK00606,70,14
SLA0159,TICK00841,54,59
SLA0160,TICK00779,80,7
SLA0161,TICK00075,56,110
SLA0162,TICK00289,78,104
SLA0163,TICK00731,89,87
SLA0164,TICK00257,82,110
SLA0165,TICK00778,95,96
SLA0166,TICK00014,71,103
SLA0167,TICK00447,80,102
SLA0168,TICK00982,92,82
SLA0169,TICK00107,58,74
SLA0170,TICK00425,49,107
SLA0171,TICK00572,52,103
SLA0172,TICK00733,51,118
SLA0173,TICK00719,61,102
SLA0174,TICK00458,93,91
SLA0175,TICK00017,88,109
SLA0176,TICK00485,60,105
SLA0177,TICK00387,49,110
SLA0178,TICK00283,66,101
SLA0179,TICK00343,60,84
SLA0180,TICK00449,73,81
SLA0181,TICK00098,92,95
SLA0182,TICK00223,93,75
SLA0183,TICK00406,72,106
SLA0184,TICK00283,66,106
SLA0185,TICK00043,93,75
SLA0186,TICK00142,89,104
SLA0187,TICK00409,63,94
SLA0188,TICK00552,86,89
SLA0189,TICK00892,70,105
SLA0190,TICK00433,74,75
SLA0191,TICK00635,73,117
SLA0192,TICK00347,51,104
SLA0193,TICK00414,74,98
SLA0194,TICK00609,73,112
SLA0195,TICK00793,77,105
SLA0196,TICK00278,93,110
SLA0197,TICK00552,81,82
SLA0198,TICK00053,50,106
SLA0199,TICK00634,60,108
SLA0200,TICK00518,81,120
